
Running configs.
{'root_path': 'datasets', 'dataset': 'eurosat', 'shots': 16, 'backbone': 'RN50', 'n_prompt_tokens': 4, 'intrinsic_dim': 512, 'budget': 8000, 'bound': 5, 'alpha': 1, 'popsize': 40, 'parallel': False, 'print_every': 50, 'eval_every': 100, 'n': 1, 'batch_size': 256, 'std': 1, 'weight': 0.01, 'train_epoch': 20, 'subsample_classes': 'all', 'seed': 1}

Preparing dataset.
Reading split from /raid0-data/yifan/datasets/eurosat/split_zhou_EuroSAT.json
Creating a 16-shot dataset

Loading visual features and labels from test set.
Initial context: "a photo of a"
Number of context words (tokens): 4
Population Size: 40
Serial Evaluation.
Printing trainable parameters
Printing to verify trainable parameters
name input_param param.shape: torch.Size([40, 512])
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 512/512 [00:07<00:00, 69.11it/s]
/home/yifanyang/miniconda3/envs/vlm/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:224: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Steps: 0 	 Acc:48.23456790123457 	 Loss:0
merge the parameter at step 1
name input_param param.shape: torch.Size([512]) grad_tmp[name].shape: torch.Size([40, 512])
Steps: 100 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 200 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 300 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 400 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 500 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 600 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 700 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 800 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 900 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1000 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1100 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1200 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1300 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1400 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1500 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1600 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1700 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1800 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 1900 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 2000 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
Steps: 2100 	 Acc:48.20987654320987 	 Loss:tensor(1.6329, device='cuda:0')
