
Running configs.
{'root_path': 'datasets', 'dataset': 'eurosat', 'shots': 16, 'backbone': 'RN50', 'n_prompt_tokens': 4, 'intrinsic_dim': 512, 'budget': 8000, 'bound': 5, 'alpha': 1, 'popsize': 40, 'parallel': False, 'print_every': 50, 'eval_every': 100, 'n': 1, 'batch_size': 256, 'std': 1, 'weight': 0.01, 'train_epoch': 20, 'subsample_classes': 'all', 'seed': 1}

Preparing dataset.
Reading split from /raid0-data/yifan/datasets/eurosat/split_zhou_EuroSAT.json
Creating a 16-shot dataset

Loading visual features and labels from test set.
Initial context: "a photo of a"
Number of context words (tokens): 4
Population Size: 40
Serial Evaluation.
Printing trainable parameters
Printing to verify trainable parameters
name input_param param.shape: torch.Size([40, 512])
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 512/512 [00:07<00:00, 70.59it/s]
/home/yifanyang/miniconda3/envs/vlm/lib/python3.9/site-packages/torch/optim/lr_scheduler.py:224: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Steps: 0 	 Acc:48.23456790123457 	 Loss:0
merge the parameter at step 1
Steps: 100 	 Acc:53.5679012345679 	 Loss:tensor(1.4863, device='cuda:0')
Steps: 200 	 Acc:55.08641975308642 	 Loss:tensor(1.4404, device='cuda:0')
Steps: 300 	 Acc:59.93827160493827 	 Loss:tensor(1.3453, device='cuda:0')
Steps: 400 	 Acc:60.75308641975309 	 Loss:tensor(1.2902, device='cuda:0')
Steps: 500 	 Acc:61.08641975308642 	 Loss:tensor(1.2687, device='cuda:0')
Steps: 600 	 Acc:62.135802469135804 	 Loss:tensor(1.2303, device='cuda:0')
Steps: 700 	 Acc:59.80246913580247 	 Loss:tensor(1.2128, device='cuda:0')
Steps: 800 	 Acc:59.333333333333336 	 Loss:tensor(1.1850, device='cuda:0')
Steps: 900 	 Acc:60.53086419753087 	 Loss:tensor(1.1616, device='cuda:0')
Steps: 1000 	 Acc:61.08641975308642 	 Loss:tensor(1.1407, device='cuda:0')
Steps: 1100 	 Acc:59.76543209876543 	 Loss:tensor(1.1277, device='cuda:0')
Steps: 1200 	 Acc:58.91358024691358 	 Loss:tensor(1.1247, device='cuda:0')
Steps: 1300 	 Acc:58.5679012345679 	 Loss:tensor(1.1173, device='cuda:0')
Steps: 1400 	 Acc:59.160493827160494 	 Loss:tensor(1.1041, device='cuda:0')
Steps: 1500 	 Acc:60.01234567901235 	 Loss:tensor(1.0893, device='cuda:0')
Steps: 1600 	 Acc:60.54320987654321 	 Loss:tensor(1.0758, device='cuda:0')
Steps: 1700 	 Acc:61.0 	 Loss:tensor(1.0651, device='cuda:0')
Steps: 1800 	 Acc:61.69135802469136 	 Loss:tensor(1.0564, device='cuda:0')
Steps: 1900 	 Acc:62.4320987654321 	 Loss:tensor(1.0493, device='cuda:0')
Steps: 2000 	 Acc:62.98765432098765 	 Loss:tensor(1.0427, device='cuda:0')
Steps: 2100 	 Acc:63.74074074074074 	 Loss:tensor(1.0357, device='cuda:0')
Steps: 2200 	 Acc:64.41975308641975 	 Loss:tensor(1.0285, device='cuda:0')
Steps: 2300 	 Acc:65.18518518518519 	 Loss:tensor(1.0215, device='cuda:0')
Steps: 2400 	 Acc:65.98765432098766 	 Loss:tensor(1.0149, device='cuda:0')
Steps: 2500 	 Acc:66.61728395061728 	 Loss:tensor(1.0089, device='cuda:0')
Steps: 2600 	 Acc:67.1358024691358 	 Loss:tensor(1.0033, device='cuda:0')
Steps: 2700 	 Acc:67.34567901234568 	 Loss:tensor(0.9984, device='cuda:0')
Steps: 2800 	 Acc:67.55555555555556 	 Loss:tensor(0.9941, device='cuda:0')
Steps: 2900 	 Acc:67.91358024691358 	 Loss:tensor(0.9901, device='cuda:0')
Steps: 3000 	 Acc:67.9753086419753 	 Loss:tensor(0.9864, device='cuda:0')
Steps: 3100 	 Acc:68.27160493827161 	 Loss:tensor(0.9829, device='cuda:0')
Steps: 3200 	 Acc:68.32098765432099 	 Loss:tensor(0.9795, device='cuda:0')
Steps: 3300 	 Acc:68.46913580246914 	 Loss:tensor(0.9760, device='cuda:0')
Steps: 3400 	 Acc:68.51851851851852 	 Loss:tensor(0.9724, device='cuda:0')
Steps: 3500 	 Acc:68.5925925925926 	 Loss:tensor(0.9687, device='cuda:0')
Steps: 3600 	 Acc:68.71604938271605 	 Loss:tensor(0.9649, device='cuda:0')
Steps: 3700 	 Acc:68.8641975308642 	 Loss:tensor(0.9612, device='cuda:0')
Steps: 3800 	 Acc:69.01234567901234 	 Loss:tensor(0.9574, device='cuda:0')
Steps: 3900 	 Acc:69.04938271604938 	 Loss:tensor(0.9538, device='cuda:0')
Steps: 4000 	 Acc:69.09876543209876 	 Loss:tensor(0.9501, device='cuda:0')
Steps: 4100 	 Acc:69.22222222222223 	 Loss:tensor(0.9465, device='cuda:0')
Steps: 4200 	 Acc:69.22222222222223 	 Loss:tensor(0.9430, device='cuda:0')
Steps: 4300 	 Acc:69.37037037037037 	 Loss:tensor(0.9396, device='cuda:0')
Steps: 4400 	 Acc:69.39506172839506 	 Loss:tensor(0.9365, device='cuda:0')
Steps: 4500 	 Acc:69.39506172839506 	 Loss:tensor(0.9335, device='cuda:0')
Steps: 4600 	 Acc:69.45679012345678 	 Loss:tensor(0.9307, device='cuda:0')
Steps: 4700 	 Acc:69.49382716049382 	 Loss:tensor(0.9281, device='cuda:0')
Steps: 4800 	 Acc:69.62962962962963 	 Loss:tensor(0.9256, device='cuda:0')
Steps: 4900 	 Acc:69.74074074074075 	 Loss:tensor(0.9233, device='cuda:0')
Steps: 5000 	 Acc:69.67901234567901 	 Loss:tensor(0.9212, device='cuda:0')
Steps: 5100 	 Acc:69.81481481481481 	 Loss:tensor(0.9191, device='cuda:0')
Steps: 5200 	 Acc:69.76543209876543 	 Loss:tensor(0.9171, device='cuda:0')
Steps: 5300 	 Acc:69.75308641975309 	 Loss:tensor(0.9152, device='cuda:0')
Steps: 5400 	 Acc:69.69135802469135 	 Loss:tensor(0.9134, device='cuda:0')
Steps: 5500 	 Acc:69.69135802469135 	 Loss:tensor(0.9115, device='cuda:0')
